Sehir,Sube_Adi,Adres,Place_ID
Karaman,Bim,"Karamanoğlu Mehmet Bey, Kenzi Cd. No:101 / A, 70200 Karaman Merkez/Karaman, Türkiye",ChIJJ46mIkyN2RQRHTU9pz_8LrI
Karaman,Bim,"Ahiosman, Yeni Minare Cd. No:6/A, 70100 Karaman Merkez/Karaman, Türkiye",ChIJta93owGN2RQRCfi2nLKJt4o
Karaman,Bim,"Yunuskent Mah. Alparslan Türkeş Bulvarı No:26/A Karaman 26/A, Yunuskent, Alpaslan Türkeş Blv. No:26, 70200 Karaman Merkez/Karaman, Türkiye",ChIJz81rU6WN2RQRHyCxRUKs9D8
Karaman,Bim,"Kazım Karabekir Paşa, Kazım Karabekir Paşa Cd. No:8/A, 70100 Karaman Merkez/Karaman, Türkiye",ChIJhegIowGN2RQRc1BaEUfeg1w
Karaman,Bim,"Gevher Hatun, 2075. Sk. No:64, 70200 Karaman Merkez/Karaman, Türkiye",ChIJQ5zKWQCT2RQRVkliKGLSMoI
Karaman,Bim,"Sakabaşı, Bekir Sıtkı Erdoğan Cd. No:97 D:91, 70200 Karaman Merkez/Karaman, Türkiye",ChIJj1Ds3siN2RQRfj7G6EKZ93o
Karaman,BIM,"Osman Gazi mah, Yavuz Sultan Selim Blv. No:28/B, 70100 Karaman Merkez/Karaman, Türkiye",ChIJw_bHHnSN2RQRFby6cOzRE18
Karaman,Bim,"Yeşilada, Mut Cd. No:117, 70200 Karaman Merkez/Karaman, Türkiye",ChIJiR9v36eN2RQREBd3PzvjlWU
Karaman,Bim,"Elmaşehir, Prof. Dr. Ahmet Zeki Velidi Togan Blv. No:30, 70200 Karaman Merkez/Karaman, Türkiye",ChIJbVvrVACN2RQR9KCFzYfs2jw
Karaman,Bim Market,"Valide Sultan, İbrahim Hakkı Konyalı Cd. No:22, 70100 Karaman Merkez/Karaman, Türkiye",ChIJmUstVACN2RQRTFc6cBvVaEU
Karaman,Bim magazasi,"Yunus Emre, 579G+9R, 70200 Dere/Karaman Merkez/Karaman, Türkiye",ChIJN7T-tdyT2RQR2w0mH_r_n1c
Karaman,BIM,"Yunus Emre mah, 2263 sok No:6, Karaman Merkez/Karaman, Türkiye",ChIJWQ0YVQaN2RQRzRzad5T1xV4
Karaman,Bim,"Cumhuriyet, Ereğli Cd. No:30 D:b, 70140 Karaman Merkez/Karaman, Türkiye",ChIJkdxjdwCN2RQRzz3RFO4VBY4
Karaman,Bim,"Mansurdede, 104. Sk., 70200 Karaman Merkez/Karaman, Türkiye",ChIJ4T8AtKqN2RQRvYo62hAOAp4
Kırıkkale,Bim,"Hüseyin Kahya, 621. Sk. 9-10, 71200 Kırıkkale Merkez/Kırıkkale, Türkiye",ChIJjQ4tNabfgUARROR2zyILWNs
Kırıkkale,BIM,"Sanayi, Zümrütkale Blv. No:279 A-B, 71400 Kırıkkale Merkez/Kırıkkale, Türkiye",ChIJdZ3LnRzfgUARiI4m31AEyy8
Kırıkkale,Bim,"Gürler, Ergenekon Cd. No: 87/A, 71200 Kırıkkale Merkez/Kırıkkale, Türkiye",ChIJK0CujAjfgUAR67q1KZp3FoE
Kırıkkale,Bim,"Kaletepe Alparslan Pehlivanlı Blv, Zümrütkale Blv. 120/A-B, 71400 Kırıkkale, Türkiye",ChIJUYovkazfgUAR2TKvwgUZ5t0
Kırıkkale,Eski sanayi Bim,"Sanayi, Zümrütkale Blv. No:279, 71400 Kırıkkale Merkez/Kırıkkale, Türkiye",ChIJWeP9vUffgUARTW_HtIPcCv8
Kırıkkale,Bim,"Çullu, Çullu Caddesi, 2435. Sk., Kırıkkale Merkez/Kırıkkale, Türkiye",ChIJJweXIgDZgUARuXGAVZaHsRs
Kırıkkale,Bim,"Yaylacık, 381. Sk. No:27, 71100 Kırıkkale Merkez/Kırıkkale, Türkiye",ChIJ4dO_YqDfgUARPBK0QpH491Y
